AL_CDA,AL_CDN,ICAO,AIRLINE,COUNTRY
BD,236,BMA,bmi Cargo,United Kingdom
BE,267,BEE,FlyBE,United Kingdom
BG,997,BBC,Biman Bangladesh Airlines,Bangladesh
BL,550,PIC,Pacific Airlines,Vietnam
BP,636,BOT,Air Botswana,Botswana
BR,695,EVA,EVA Air,Taiwan ROC
BT,657,BTI,Air Baltic,Latvia
BW,106,BWA,Caribbean Airlines,Trinidad & Tobago
BY,754,TOM,Thomsonfly,United Kingdom
C3,655,IPR,Icar Airlines,Ukraine
C6,116,BHT,Bright Air,Netherlands
C7,424,SCI,Special Cargo Airlines,Russia
C9,251,RUS,Cirrus Airlines,Germany
CC,318,ABD,Air Atlanta Icelandic,Iceland
CE,567,NTW,Nationwide Air,South Africa
CJ,782,CBF,China Northern Airlines,China PRC
CL,683,CLH,Lufthansa CityLine,Germany
CO,5,COA,Continental Airlines,United States
CS,596,CMI,Continental Micronesia,Guam
CU,136,CUB,Cubana,Cuba
CV,172,CLX,Cargolux Airlines,Luxembourg
CX,160,CPA,Cathay Pacific Airways,Hong Kong
DP,91,FCA,First Choice Airways,United Kingdom
ZL,292,AFM,Affretair,Zimbabwe
ZM,939,SBZ,Scibe Airlift,Congo DR
ZN,528,EAV,Eagle Airlines,Austria
ZP,315,STT,Air St Thomas,Puerto Rico
ZQ,941,NZA,Ansett New Zealand,New Zealand
ZR,410,AZS,Aviacon Zitotrans,Russia
ZS,864,AZI,Azzurra Air,Italy
ZU,32,HCY,Helios Airways,United Kingdom
ZV,471,AMW,Air Midwest,United States
ZW,303,AWI,Air Wisconsin Airlines,United States
ZY,121,ADE,Ada Air,Albania
3V,756,TAY,TNT Airways,Belgium
3Z,741,NEC,Necon Air,Nepal
4B,234,PAG,Perimeter Airlines (Inland) Ltd,Canada
4D,903,ASD,Air Sinai,Egypt
4L,465,KZR,Air Astana,Kazakhstan
4N,287,ANT,Air North,Canada
4V,908,VAL,Voyageur Airways,Canada
5C,700,ICL,CAL Cargo Airlines,Israel
5G,884,SSV,Skyservice,Canada
5J,203,CPI,Cebu Pacific Air,Philippines
5L,275,ASU,Aerosur,Bolivia
5N,316,AUL,Aeroflot-Nord,Russia
5T,518,MPE,Canadian North Cargo,Canada
5Z,466,AFX,Airfreight Express,United Kingdom
6B,951,BLX,Britannia Airways,Sweden
6F,385,LKR,Laker Airways,United States
6H,818,ISR,Israir,Israel
6K,557,KRS,Korsar Airlines,Russia
6M,350,MVR,Maverick Airways,United States
6P,779,GCP,DAC Air SA,Romania
5U,22,LDE,Lineas Aereas Del Estado,Argentina
5X,406,UPS,UPS Airlines,United States
6R,684,GEG,Georgian Airlines,Georgia
6V,408,LCG,Lignes Aeriennes Congolaises - LAC,Congo DR
